Title,Podficcer,Author,Ship,Link
Potter Family speaking Parseltongue,Opalsong,Lullabyknell,Harry Potter/Ginny Weasley,"<a href=""https://archiveofourown.org/works/8831515"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Potterwatch: A Parenting Show,Opalsong,Lullabyknell,Harry Potter/Ginny Weasley,"<a href=""https://archiveofourown.org/works/8838514"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Power Couple,ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41138775"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Praise You Like I Should,Ashata,fruitcoops,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/45115621"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Prescription Decryption,lalaspodfics,acewritesfanfiction,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/47476126"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Presents,Draco Malfoy Podfics,fallingforfictionalcharacterss,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/4bg7JeLzVOgPgwd8AA8bUh?si=GYwcmpsSTDm6Ahiw4miXHA"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Presque Toujours Pur,Beatificbean,ShayaLonnie,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/54257644"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Priceless,ETL_Echo_Audiobooks,Kyonomiko,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/43513041"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Primal,picascribit,picascribit,Hermione Granger/Ron Weasley,"<a href=""https://archiveofourown.org/works/978372"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Prior,kitartpods,Tavina,Cho Chang/Blaise Zabini,"<a href=""https://archiveofourown.org/works/40912089"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Priority 0 ,Ashata,anonymous,Sirius Black/Remus Lupin,"<a href=""https://open.spotify.com/episode/3brabEpwFcfRAUT3QoMCY8?si=8abbfc7174014184"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Professional Courtesies,ETL_Echo_Audiobooks,"HeyJude19, mignonettes",Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/47498281"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Prometheus,The Dramione Archives,CanadianMuggle,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/226XtVOE3y4iPGLKNLLvZz?si=6b2b974c39a7468a"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Proper Introductions,"BurningAurora, MsAlexWP, R33sesPieces, read by (ashata)",Engie_Ivy,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/50898199"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Psycho,EllaMcSmellBella,peachpety,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/50142268"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Push,ETL_Echo_Audiobooks,inadaze22,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/47461099"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Queen of Lonely Hearts,ETL_Echo_Audiobooks,raven_maiden,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41137884"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Quidditch and Quietude,"podfic_lover, Pods and Filks by (SerenaEW), robinfaipods (Robin_Fai), thriceandonce (sylvaine)",Ttime42,Harry Potter/Severus Snape,"<a href=""https://archiveofourown.org/works/50861200"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Quintuple Meter - TTS,BurningAurora,Krethes,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/52881178?view_adult=true"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
R O S E S,ETL_Echo_Audiobooks,ambpersand,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41249274"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Radically Both - TTS,BurningAurora,synonomu,Sirius Black/Remus Lupin,"<a href=""https://open.spotify.com/episode/5EfZUAzDICGjeI8vntFovp?si=13dd04321f4c4e7d"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Rainfall,seeking_semperfiona,Saras_Girl,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/19450633"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Re Scores - TTS,BurningAurora,ashata,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/46149913"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Reasonable Adjustments,Queenie_Mab,wench_fics,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/2055597"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Rebirth,ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41138919"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Rebuilding,SilverMissFanfiction,Colubrina,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/76a1PdQUieibjeWh0LHSr0?si=0e6c0883255e4ca4"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Reconditioning,"BinteMuhammad, Pods and Filks by (SerenaEW), SerenaEW",SerenaEW,Harry Potter/Severus Snape,"<a href=""https://archiveofourown.org/works/49490596/chapters/124905793"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Red Or Green,EllaMcSmellBella,SenLinYu,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/43407703"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Redefining Bill Weasley,fire_juggler,The_Minx_17,Harry Potter/Bill Weasley,"<a href=""https://archiveofourown.org/works/309661"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Redemption,fire_juggler,khasael,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/7505032"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Rediscovering Joy,Queenie_Mab,sassy_cissa,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/1096690"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Reflections,peaceinpanem,souljelly,Luna Lovegood/Ginny Weasley,"<a href=""https://archiveofourown.org/works/50578783"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Refuge From The Miseries of Life,Heartless Podfics,TheOnceandFutureQueenofTarts,Harry Potter/Tom Riddle,"<a href=""https://open.spotify.com/episode/5Z9x0FusZG8bizcWo82oKU?si=a139a388565f4df4"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
