Title,Podcaster,Author,Chapters,Status,Time,Ship or Main Character,Link,Spotify/stream,Third Link,FANDOM NAME,,Date Podfic Published/Updated,Date Fic Published,,SHIP NAME,Ship or Main Character,COUNTA of Ship or Main Character
A Cauldron Full of Hot Strong Love,FanficTalk Podfics,Crowsb4bros,oneshot,complete,0-15 mins,James Potter/Lily Evans Potter,,https://open.spotify.com/episode/6Uy3j1oqa4emKZDmiwcYcA?si=ItazKgIRT1q4L_XHm2TaFw,,Jily,,,,,,,
a certain optimism,monarchyofone,hippocrates460,oneshot,complete,1-5 hours,Harry Potter/Severus Snape,https://archiveofourown.org/works/27282004,,,Snarry,,,,,,,
A Christmas Collaboration,EllaMcSmellBella,Musyc,oneshot,complete,0-15 mins,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43407688,https://open.spotify.com/episode/4uvoZCT36PZlHWIbUib5Y8?si=cd404d005dd74f2d,,Dramione,,,,,,,
A Clothy Problem,PhenomenalAsterisk,FlightinFlame,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/38613069,,,Drarry,,,,,,,
A Compliment,peasina,gorgeousnerd,oneshot,complete,0-15 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/36244810,,,Wolfstar,,,,,,,
"A Conspiracy of Cartographers: Part 1, A History of Cartographers",picascribit,picascribit,12 of 12,complete,15-60 mins,Parents of the Marauders,https://archiveofourown.org/works/924665,,,,,,,,,,
"A Conspiracy of Cartographers: Part 2, A Conspiracy of Cartographers: Year One",picascribit,picascribit,20 of 20,complete,5+ hours,Sirius Black/Remus Lupin,https://archiveofourown.org/works/905854,,,Wolfstar,,,,,,,
"A Conspiracy of Cartographers: Part 3, A Conspiracy of Cartographers: Year Two",picascribit,picascribit,20 of ?,completeish,5+ hours,Sirius Black/Remus Lupin,https://archiveofourown.org/works/917717,,,Wolfstar,,,,,,,
A Continuation Involving Powdered Donuts and Fits of Erotic Panic,xinasvoice,xinasvoice,oneshot,complete,1-5 hours,Sirius Black/Remus Lupin,https://archiveofourown.org/works/20159050,,,Wolfstar,,,,,,,
A Crown of Crimson-Gold,thatreallyextrakid,CleotheDreamer,oneshot,complete,0-15 mins,Draco Malfoy,https://archiveofourown.org/works/24176698,,,,,,,,,,
A Cup of Sugar - TTS,"BurningAurora, Wolfstar Tales",MsAlexWP,oneshot,complete,15-60 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/46773184,https://open.spotify.com/episode/3eF4OOvAt5zSGmBgPURFih?si=gaQ1pCBWQ_GqPxt49DBPsg,,Wolfstar,,,,,,,
