Title,Podcaster,Author,Chapters,Status,Time,Ship or Main Character,Link,Spotify/stream,Third Link,FANDOM NAME,,Date Podfic Published/Updated,Date Fic Published,Fic Link,notes,SHIP NAME,Ship or Main Character,COUNTA of Ship or Main Character
6th Year Potions,ashbear02,lillibet4,oneshot,complete,0-15 mins,Harry Potter/Severus Snape,https://www.audiofic.jinjurly.com/6th-year-potions,,,Snarry,,2010/01/09,,https://archiveofourown.org/works/2858600,,,,
73 Christmases,"Jocunda Sykes, Rindle",BleepBloopBotz,oneshot,complete,0-15 mins,Bathilda Bagshot/Griselda Marchbanks,https://archiveofourown.org/works/56264278,,,,,,,https://archiveofourown.org/works/37561639,,,,
A Bit of Comfort,Ashii Black,venivincere,oneshot,complete,15-60 mins,Harry Potter/Severus Snape,https://www.audiofic.jinjurly.com/bit-of-comfort,,,Snarry,,2015/07/31,2014/12/26,https://archiveofourown.org/works/15955343,,,,
A Black and a Potter,peaceinpanem,TheFeistyRogue,oneshot,complete,0-15 mins,Regulus Black/James Potter,https://archiveofourown.org/works/49397263,,,Jegulus,,2023/08/16,2018/09/10,https://archiveofourown.org/works/29317854,,,,
A Careful Facade,kitsunerei88,In_Dreams,oneshot,complete,15-60 mins,Pansy Parkinson/Percy Weasley,https://archiveofourown.org/works/48931135,,,Parkweasel,,2023/07/28,2021/02/10,https://archiveofourown.org/works/632291,,,,
A Casual Death,Queenie_Mab,Vaysh,oneshot,complete,15-60 mins,Charity Burbage,https://archiveofourown.org/works/995820,,,,,2013/10/08,2013/01/09,https://fanfictalk.com/archive/viewstory.php?sid=2412&chapter=1,,,,
A Cauldron Full of Hot Strong Love,FanficTalk Podfics,Crowsb4bros,oneshot,complete,0-15 mins,James Potter/Lily Evans Potter,,https://open.spotify.com/episode/6Uy3j1oqa4emKZDmiwcYcA?si=ItazKgIRT1q4L_XHm2TaFw,,Jily,,2020/02/01,2018/10/16,https://archiveofourown.org/works/21624286,,,,
a certain optimism,monarchyofone,hippocrates460,oneshot,complete,1-5 hours,Harry Potter/Severus Snape,https://archiveofourown.org/works/27282004,,,Snarry,,2020/10/30,2019/12/04,https://archiveofourown.org/works/21873712,,,,
A Clothy Problem,PhenomenalAsterisk,FlightinFlame,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/38613069,,,Drarry,,2022/04/26,2022/06/24,https://archiveofourown.org/works/37976899/chapters/94850170,,,,
A Collection of Drabbles,wiccanslyr,wiccanslyr,oneshot,complete,0-15 mins,,https://audiofic.jinjurly.com/collection-of-drabbles-anthology,,,,,,,https://archiveofourown.org/works/15987302,needs investigating,,,
