Title,Podcaster,Author,Chapters,Status,Time,Ship or Main Character,Link,Spotify/stream,Third Link,FANDOM NAME,,Date Podfic Published/Updated,Date Fic Published,Fic Link,notes,SHIP NAME,Ship or Main Character,COUNTA of Ship or Main Character
"Do, Re, Me (The Unfinished Symphony of Nymphadora Tonks)",jenwryn,thecolourclear,oneshot,complete,15-60 mins,Charlie Weasley/Nymphadora Tonks,https://audiofic.jinjurly.com/do-re-me-unfinished-symphony-of-nymphadora-tonks,,,,,2010/02/18,,,dead link,,,
Dobby Fucks,Ship Happens,scullyvasan,oneshot,complete,15-60 mins,Dobby/The Whole World,,https://open.spotify.com/episode/5L0nYOZzdDexg0pYizikij?si=c5a95caa687849c7,,,,2024/03/04,2022/12/08,https://archiveofourown.org/works/54960673,,,,
Dog Collars and Gay Godfathers,Kaiinbed,dreaminghour,oneshot,complete,0-15 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/55069138,https://open.spotify.com/episode/6VS4QkzqX3tT7UDnsiOcWb?si=51b9a2271c144872,,Wolfstar,,2023/10/17,2013/09/04,https://archiveofourown.org/works/12800142/chapters/29215728,,,,
Dog Days of Summer (2006),zuihitsu,xylodemon,oneshot,complete,15-60 mins,Sirius Black/Remus Lupin,https://www.audiofic.jinjurly.com/dog-days-of-summer-2006,,,Wolfstar,,2012/10/28,2006/08/07,https://archiveofourown.org/works/23168287,,,,
Dog Star in the Sun,Cailynwrites,thistlecat,oneshot,complete,0-15 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/56025148,,,Wolfstar,,2024/05/19,2024/04/14,https://mab.livejournal.com/63911.html,,,,
doing the right thing roximalfoy,FanficTalk Podfics,roximalfoy,oneshot,complete,0-15 mins,Draco Malfoy,,https://open.spotify.com/episode/3ehxN5IY0ZIMN0kn5BDPxp?si=2a9f2e6d8ddf4da2,,,,2020/02/01,2017/04/11,https://archiveofourown.org/works/31889806,,,,
doing what you want and other dumb things,friki,fwooshy,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/33526447,,,Drarry,,2021/08/28,2021/08/23,https://archiveofourown.org/works/28132809,locked,,,
Domestic Bliss,wilfriede0815,gracerene,oneshot,complete,0-15 mins,Pansy Parkinson/Rose Weasley,https://archiveofourown.org/works/52355560,,,,,2023/12/25,2020/04/20,https://archiveofourown.org/works/14393835,,,,
Don't Bring a Wand to a Gun Fight,DisasterDungeonMaster,vamprav,oneshot,complete,0-15 mins,Lily Evans Potter,https://archiveofourown.org/works/17795801,,,,,2019/02/15,2018/11/25,https://archiveofourown.org/works/55231897,,,,
Don't Bring a Wand to a Gun Fight,Kaiinbed,vamprav,oneshot,complete,0-15 mins,Lily Evans Potter,https://archiveofourown.org/works/55068139,https://open.spotify.com/episode/3VolgFZ7TpAxaeeBruI0lE?si=IblbUzrMQBGE4FR4mAI6bQ,,,,2023/10/02,2018/11/25,https://archiveofourown.org/works/388723,,,,
Don't Forget Me,kalkay,Alicia and Anne,oneshot,complete,0-15 mins,Albus Severus Potter,https://fanfictionaudiobooks.tumblr.com/post/149903524184,,,,,,,https://archiveofourown.org/works/45674482#main,,,,
Don't Look Away,keyflight790,maraudersaffair,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/27660586,,,Drarry,,2020/11/21,2019/09/11,https://archiveofourown.org/works/19276393/chapters/45844324,,,,
Don't Need No Credit Card To Ride This Train,"blackglass, esbielle, idellaphod, LittleRedRobinHood, elrohir, sophinisba",orphan_account,oneshot,complete,0-15 mins,Harry Potter/Ginny Weasley,https://archiveofourown.org/works/24398167,,,Hinny,,2020/05/27,2010/10/21,https://archiveofourown.org/works/12480304/chapters/28407540,,,,
Don't Say Goodnight,FanficTalk Podfics,dreamshadow,oneshot,complete,15-60 mins,Original Female Characters,,https://open.spotify.com/episode/1UTsLQ5UwlCh88ql5Lasav?si=gRTmUXs5TpOQaRU48-a9Hw,,,,2021/01/01,,https://archiveofourown.org/works/13450605/chapters/30830190,,,,
Double Happiness Masala,westernredcedar,busaikko,oneshot,complete,15-60 mins,Remus Lupin/Severus Snape,https://audiofic.jinjurly.com/double-happiness-masala,,,Snupin,,2007/10/13,,https://archiveofourown.org/works/14305386/chapters/33004722,,,,
Double or Nothing,Opalsong,Calico,oneshot,complete,1-5 hours,Fred Weasley/George Weasley/Lance Bass,https://archiveofourown.org/works/8871013,,,,,2017/01/02,,https://archiveofourown.org/works/15250227/chapters/35371497,,,,
Double-Edged,fire_juggler,astolat,oneshot,complete,0-15 mins,Neville Longbottom,https://archiveofourown.org/works/679236,,,,,2013/02/14,,https://archiveofourown.org/works/16800313/chapters/39432937,,,,
"Double, Double Time-Turner Trouble",starduchess,mykesprit,oneshot,complete,15-60 mins,Hermione Granger/Draco Malfoy,https://hp-podfic-fest.livejournal.com/98857.html,,,Dramione,,2018/09/11,2018/04/03,https://archiveofourown.org/works/19998850/chapters/47350876,,,,
Down Payment,twasadark,dysonrules,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://audiofic.livejournal.com/16086.html,https://amplificathon.dreamwidth.org/521132.html,,Drarry,,2008/05/16,2008/04/19,https://archiveofourown.org/works/23050501/chapters/55129279,,,,
Down the black hole of my lust I descend,fairies_withspirits,fairies_withspirits,1 of 1,complete,1-5 hours,Regulus Black/Sirius Black,https://archiveofourown.org/works/52602760,,,,,2023/12/28,,https://archiveofourown.org/works/53211550,,,,
Down to the Letter,unadulteratedstorycollector,"kitty_fic, Vaysh",oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/13113141,,,Drarry,,2017/12/23,2017/05/21,https://dm-asp-fest.livejournal.com/7390.html,,,,
Dr Seuss Goes to Hogwarts,semperfiona,Elf_Herself,oneshot,complete,0-15 mins,Harry Potter/Severus Snape,https://archiveofourown.org/works/17999333,,,Snarry,,2019/03/04,2008/10/02,,,,,
Draco at Nineteen,artichaud,birdsofshore,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/24404275,,,Drarry,,2020/05/27,2015/06/12,https://archiveofourown.org/works/31519370,,,,
Draco Malfoy and the Mortifying Ordeal of Being in Love,ETL_Echo_Audiobooks,isthisselfcare,36 of 36,complete,10+ hours,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/52453691,,,Dramione,,2023/12/23,2022/04/08,https://archiveofourown.org/works/28928367,,,,
Draco Malfoy and the Mortifying Ordeal of Being in Love,meems_toanend,isthisselfcare,36 of 36,complete,20+ hours,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/49531444,,,Dramione,,2023/08/24,2022/04/08,,deleted lj,,,
Draco Malfoy and the Mortifying Ordeal of Being in Love,SEP FanFic Readings,isthisselfcare,36 of 36,complete,20+ hours,Hermione Granger/Draco Malfoy,,https://open.spotify.com/episode/7eYyUTHIrv2XizTcFtzZiX?si=885099b72ab64c13,,Dramione,,2022/05/01,2022/04/08,https://archiveofourown.org/works/43490212,Dobby Fucks,,,
Draco Malfoy and the Not Potter,raitala,circetigana,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/25648363,,,Drarry,,2020/08/01,,https://archiveofourown.org/works/953818,,,,
Draco Malfoy and The Seven,Darkcat reads Dramione,Slytherin_Girl91,26 of 26,complete,10+ hours,Hermione Granger/Draco Malfoy,,https://open.spotify.com/episode/2SmZVdSYRLH5RLkuF2uIZT?si=826f8d14e0c243e8,,Dramione,,2024/04/30,2024/05/27,https://archiveofourown.org/works/373147/chapters/608316,,,,
Draco Malfoy and the Squeaky Shoes,shilo1364,shilo1364,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/11035707,,,Drarry,,2017/05/29,2016/07/24,https://archiveofourown.org/works/55185829,,,,
Draco Malfoy Hacks the Ministry And Messes With Harry Potter (and other less fun and more serious happenings),bluedreaming,bafflinghaze,oneshot,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/36119116,,,Drarry,,2021/12/31,2018/12/23,https://fanfictalk.com/archive/viewstory.php?sid=809,,,,
Draco Malfoy is a Stupid Wanker,starduchess,emmagrant01,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://www.audiofic.jinjurly.com/draco-malfoy-is-stupid-wanker,https://hp-podfic-fest.livejournal.com/25362.html,,Drarry,,2012/09/05,2006/12/14,https://fw00shy.tumblr.com/post/660350940630695936/doing-what-you-want-and-other-dumb-things,,,,
Draco Malfoy Versus the Pumpkin Spice Latte,semperfiona,JGogoboots,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/16494374,,,Drarry,,2018/12/04,2018/08/29,https://archiveofourown.org/works/23618959,,,,
"Draco Malfoy, It's Your Lucky Day",sisi_rambles,Faith Wood,4 of 4,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/21373228,,,Drarry,,2020/01/22,2012/03/10,https://archiveofourown.org/works/16742137,,,,
"Draco, Merrily On High",1farmer_girl,blythely,oneshot,complete,1-5 hours,Draco Malfoy/Harry Potter,https://hp-podfic-fest.livejournal.com/9162.html,,,Drarry,,2011/12/08,2006/06/25,https://archiveofourown.org/works/16742137,,,,
"Draco, Merrily On High","Cailynwrites, ETL_Echo_Audiobooks",blythely,oneshot,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/52139434,,,Drarry,,2023/12/12,2013/04/22,,dead link,,,
Draco's Best Friend,twasadark,byaghro,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://audiofic.jinjurly.com/dracos-best-friend,,,Drarry,,2008/06/14,,https://archiveofourown.org/works/20236492,,,,
Draco's Favourite Sky,Lee Marchais / WeasleyWench,lotus_lizzy,oneshot,complete,0-15 mins,,https://audiofic.jinjurly.com/dracos-favourite-sky,,,,,2012/09/09,2009/12/14,https://archiveofourown.org/works/128395,,,,
Draco’s Favourite Sky,Lee Marchais / WeasleyWench,lotus_lizzy,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://hp-podfic-fest.livejournal.com/27156.html,,,Drarry,,2012/09/07,2009/12/14,https://fanfictalk.com/archive/viewstory.php?sid=3459,access denied,,,
Draco's True Redemption,bluedreaming,newtypeshadow,oneshot,complete,0-15 mins,Draco Malfoy,https://archiveofourown.org/works/33977005,,,,,2021/10/05,2004/10/04,,deleted lj,,,
Draco's Wrists,bessyboo,Vaysh,oneshot,complete,0-15 mins,Draco Malfoy,https://archiveofourown.org/works/277777,,,,,2011/11/09,,https://busaikko.livejournal.com/32660.html,blocked,,,
Draconis Affectionitis,reveriepi,tryslora,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/54515101,,,Drarry,,2024/03/16,2012/12/27,https://archiveofourown.org/works/679236,many links,,,
Dragon Heartstrings,timothysboxers,JET_Playin,oneshot,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/16027346,,,Drarry,,2018/09/18,2017/07/24,https://archiveofourown.org/works/14203149,,,,
Dragon Whiskers,"Cailynwrites, ETL_Echo_Audiobooks",sarena,oneshot,complete,15-60 mins,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43390884,,,Dramione,,2022/12/03,2019/12/22,https://harrydraco.livejournal.com/4813498.html,,,,
Dragonhide Trousers Required,"Cailynwrites, ETL_Echo_Audiobooks",glittering_git,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/41207235,,,Drarry,,2022/08/22,2020/12/22,,?,,,
Dragons With Silver Linings (or Harry Potter is a Treasure),sisi_rambles,megyal,oneshot,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/820537,,,Drarry,,2013/05/28,2011/04/14,https://archiveofourown.org/works/10964190,,,,
Drarry Lemons,KDHeart,Sarshi,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/9813482,,,Drarry,,2013/05/05,2013/05/05,https://archiveofourown.org/works/1220,,,,
Drarry Nipple Anon,LauDH8,magpie_fngrl,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/36283588,,,Drarry,,2022/01/08,2017/11/25,https://archiveofourown.org/works/4123870,,,,
Drawn,rhi cauldrie,olivia_lupin,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://www.audiofic.jinjurly.com/drawn-0,,,Drarry,,2008/06/28,2005/04/25,https://archiveofourown.org/works/34500952/chapters/85870804,,,,
Dream a Little Dream,Anonymous,kelly_chambliss,oneshot,complete,0-15 mins,George Weasley/Severus Snape,https://hp-podfic-fest.livejournal.com/25068.html,,,,,2012/09/04,2010/02/16,https://archiveofourown.org/works/34500952/chapters/85870804,,,,
dream a little dream of me,ashata,veridity,3 of 3,complete,5+ hours,Sirius Black/Remus Lupin,https://archiveofourown.org/works/55985215,https://open.spotify.com/episode/3O4ekQwsYsWlSssQyZA8UA?si=af695f353da648a7,,Wolfstar,,2024/05/20,,https://archiveofourown.org/works/34500952/chapters/85870804,,,,
Dream by the Fire,acGranger,GallifreyisBurning,oneshot,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/30617957,,,Drarry,,2021/04/11,2020/12/19,http://circe-tigana.livejournal.com/621676.html,locked lj,,,
Dream to Keep You,Soulseeker (Laserswordtraining),Soulseeker (Laserswordtraining),oneshot,complete,15-60 mins,Harry Potter/Voldemort,https://archiveofourown.org/works/53212189,,,Harrymort,,2024/01/22,2023/12/30,https://archiveofourown.org/works/52774006/chapters/133478431,,,,
Dream Weaver,inmyownlittle_podfic_corner,emotionalsupporthufflepuff,oneshot,complete,0-15 mins,Luna Lovegood/Draco Malfoy,https://archiveofourown.org/works/45153931,,,,,2023/02/18,2022/08/26,https://archiveofourown.org/works/7575820,,,,
Dreaming Again of A Lonesome World,FanFixation (SequesteredAudio),earlgreyson,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/55848430,,https://archive.org/details/vt-daoalw,Drarry,,2024/05/12,2020/01/29,https://archiveofourown.org/works/17116481,,,,
Dreams,Ravin,Jetainia,oneshot,complete,0-15 mins,Harry Potter,https://archiveofourown.org/works/39418032,,,,,2022/06/05,2018/11/12,https://archiveofourown.org/works/245853,,,,
Dreams and Nightmares,Ravin,Kaesa,oneshot,complete,0-15 mins,Helga Hufflepuff/OMC,https://archiveofourown.org/works/26151070,,,,,2020/08/28,2009/11/15,https://archiveofourown.org/works/15836130,,,,
Dreams of Blood,Lee Marchais / WeasleyWench,mahaliem,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/618351,,,Drarry,,2013/01/01,,https://archiveofourown.org/works/359705,,,,
Drive a Little Slower,crazybutgood,bluefay,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/36942079,,,Drarry,,2022/07/03,2021/07/02,https://archiveofourown.org/works/770412,,,,
Drop Dead Gorgeous,heatherifics,Maya,15 of 15,complete,10+ hours,Draco Malfoy/Harry Potter,https://amplificathon.livejournal.com/2064056.html,,,Drarry,,2016/01/16,,https://byblythe.livejournal.com/15831.html,,,,
Drop Dead Gorgeous,mcollinknight,mistful,,"[550 MB, 11:00:00]",10+ hours,Draco Malfoy/Harry Potter,https://audiofic.jinjurly.com/drop-dead-gorgeous,,,Drarry,,2008/02/10,,,,,,
Drop Dead Gorgeous,orphan_account,Maya,6 of 15,hiatus,N/A,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/397691,,,Drarry,,2012/05/18,,https://lotus-lizzy.livejournal.com/96810.html,,,,
Drop Everything Now,aceveria,parkkate,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/26080801,,,Drarry,,2020/08/24,2020/07/12,https://lotus-lizzy.livejournal.com/96810.html,,,,
Dropping off and picking up,Cailynwrites,Andithiel,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/56210710,,,,,2024/05/27,2019/04/16,https://archiveofourown.org/works/325467,,,,
drops in the bucket,kitsunerei88,xslytherclawx,oneshot,complete,0-15 mins,Percy Weasley,https://archiveofourown.org/works/50040166,,,,,2023/09/26,2023/08/07,https://bessyboo.livejournal.com/79272.html,?,,,
Duality,Queenie_Mab,0idontknow0,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/1429828,,,Drarry,,2014/04/29,2014/03/09,https://archiveofourown.org/works/610758,,,,
Dubious and Poison - TTS,BurningAurora / Wolfstar Podfics,her_smile_forges_galaxies,oneshot,complete,0-15 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/44026816,https://open.spotify.com/episode/2efnciQ77H6aCIBDJPVQln?si=xyoUdza5R2yxkwDc4aDrRg,,Wolfstar,,2023/01/03,2022/12/17,https://archiveofourown.org/works/11591970?view_adult=true,,,,
Duck Soup,Avanie,Milarca,oneshot,complete,0-15 mins,Percival Graves/Newt Scamander,https://archiveofourown.org/works/26709859,,,,,2020/09/29,2017/03/14,https://archiveofourown.org/works/21535780,,,,
Dudley Dursley and the Hogwarts Letter (the Top of the Pops Remix),sisi_rambles,kindkit,oneshot,complete,0-15 mins,Dudley Dursley,https://archiveofourown.org/works/2331254,,,,,2014/09/20,2009/11/21,https://archiveofourown.org/works/28228350,,,,
Dudley's Cousin,WildAndFreeHearts,WhatWldMrsWeasleyDo,oneshot,complete,0-15 mins,Dudley Dursley/Harry Potter,https://archiveofourown.org/works/4739711,,,,,2015/09/06,,https://archiveofourown.org/works/185016,,,,
Dudley's Memories,Princess2000204 (Lena204),Paganaidd,5 of 5,complete,1-5 hours,Dudley Dursley,https://archiveofourown.org/works/667755,,,,,2013/02/02,2010/07/14,https://archiveofourown.org/works/784614,,,,
Dumb Ways to Meet Teddy Lupin,FanficTalk Podfics,sunshine_locks,oneshot,complete,15-60 mins,Teddy Lupin/Victoire Weasley,,https://open.spotify.com/episode/3qu8gV8Fj2XrBp8MgPMM6L?si=35d5a272ba5e43c8,,,,2020/02/01,,https://www.tumblr.com/magpiefngrl/167863598037/i-know-we-talk-about-harry-and-draco-balls-and,,,,
Dusk - TTS,BurningAurora / Wolfstar Podfics,TherestheSnitch,2 of 2,complete,15-60 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/45202321,https://open.spotify.com/episode/4lZyqxDwc0OCcZhxLJDThf?si=12d90AOTSbKncO3m6EC1vA,,Wolfstar,,2023/02/20,2022/04/11,https://drive.google.com/file/d/1qLvMM4tRvUN5BWAoc97vpYhftPMyi-ak/view,,,,
Dwelling on Dreams,reveriepi,The_Sinking_Ship,18 of 18,complete,10+ hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/52660102,,,Drarry,,2024/05/04,2021/09/26,https://rarepair-shorts.livejournal.com/326599.html,,Snamione,Hermione Granger/Severus Snape,7
Dyad,orphan_account,holyfant,oneshot,complete,15-60 mins,Luna Lovegood/Ginny Weasley,https://archiveofourown.org/works/17491631,,,Linny,,2019/01/21,2016/06/26,,?,,,
Early,Jocunda Sykes,orphan_account,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/31907275,,,Drarry,,2021/06/12,2018/01/21,https://archiveofourown.org/works/27405070,,,,
Early Morning on Christmas Eve,starkdrinks (starkliquors),smirkingcat,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/9081175,,,Drarry,,2016/12/27,2014/12/25,https://archiveofourown.org/works/52653274,,,,
Early Wolfstar Fandom vs. Todaybillsfangearring,LenaLawlipop,billsfangearring,oneshot,complete,0-15 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/41875323,,,Wolfstar,,2022/10/02,2022/01/04,https://archiveofourown.org/works/41292987,,,,
Eden,ssjdebusk,obsessmuch,40 of 50,hiatus,N/A,Lucius Malfoy/Hermione Granger,https://www.youtube.com/watch?v=fKamk-yVY1s&list=PL74B1D710790F9BC5&index=1&ab_channel=SsjDeBusk,,,,,2012/02/19,2009/12/15,https://archiveofourown.org/works/22102753,,,,
Edible Smudges and Insufferable Potters (and Insufferable Smudges and Edible Potters),sisi_rambles,Faith Wood,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/447969,https://amplificathon.livejournal.com/1414774.html,,Drarry,,2012/04/24,2012/04/25,https://archiveofourown.org/works/16596074,,,,
Egg,Annapods,Arsenic,1 of 7,hiatus,N/A,Hermione Granger/Remus Lupin/Severus Snape,https://archiveofourown.org/works/16518569,,,,,2018/11/06,2018/11/05,https://archiveofourown.org/works/12202,,,,
Egg Hunt,fire_juggler,tryslora,oneshot,complete,15-60 mins,Marcus Flint/Percy Weasley,https://archiveofourown.org/works/7504960,,,,,2016/06/20,2014/04/27,,broken lj link,,,
Eggnog with Aragog,Ship Happens,AngstyLlamaCrossings,oneshot,complete,15-60 mins,Ron Weasley/Aragog,,https://open.spotify.com/episode/5htNdvyCJYV0qh5YPRiaIS?si=c7d917fe90fa4a2d,,,,2024/03/18,2019/12/25,https://archiveofourown.org/works/31215341,,,,
Eight Attempts at Informing Potter of His Impending Parenthood,sisi_rambles,ennedepaix,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/866297,,,Drarry,,2013/07/02,2012/08/11,https://drive.google.com/drive/folders/0BwfE6l6RtZAsaFNxNlZ6d3QtYkU?resourcekey=0-05B8yxh_8YJPo8H3Kzbe4A,,,,
"Eight o'clock, tomorrow evening",lastontheboat,fluxweed,oneshot,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archive.org/details/eightoclock,,,Drarry,,2022/04/11,2021/08/14,https://drive.google.com/drive/folders/0BwfE6l6RtZAsaFNxNlZ6d3QtYkU?resourcekey=0-05B8yxh_8YJPo8H3Kzbe4A,,,,
Eighteen Months,Cailynwrites,CelesteMagnolia,oneshot,complete,0-15 mins,Sirius Black/Kingsley Shacklebolt,https://archiveofourown.org/works/55913710,,,,,2024/05/14,2023/02/01,https://drive.google.com/drive/folders/0BwfE6l6RtZAsaFNxNlZ6d3QtYkU?resourcekey=0-05B8yxh_8YJPo8H3Kzbe4A,,,,
Elemental,tree00faery,katmarajade,oneshot,complete,0-15 mins,Percy Weasley,https://hp-podfic-fest.livejournal.com/14420.html,,,,,2011/12/18,2010/12/12,https://archiveofourown.org/works/24734242,,,,
"Eleven Times Remus Said No, and One Time He Said Yes - TTS",BurningAurora / Wolfstar Podfics,R33sesPieces,oneshot,complete,15-60 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/44878285,https://open.spotify.com/episode/2O3LuE88MYEi3Ial7AMtsv?si=d2wtc1z1SA28MYtmpoXQiA,,Wolfstar,,2023/02/08,2022/08/07,https://archiveofourown.org/works/18486169,,,,
Elucidation Practice,cantarina,montparnasse,oneshot,complete,1-5 hours,Sirius Black/Remus Lupin,https://archiveofourown.org/works/17306036,,,Wolfstar,,2019/01/05,2016/01/10,https://archiveofourown.org/works/49111354,,,,
Elysian Key,PsychoticFireBadger,Alice O'Really,1 of 38,in progress,in progress,Harry Potter/Severus Snape,https://archiveofourown.org/works/53520076,,,Snarry,,2024/02/04,2024/05/18,https://archiveofourown.org/works/1287247,,,,
Embers and Soot,"blackglass, dreamquaffle, horchatapods, InklingDancer, irrationalpie, Jocunda Sykes, LenaLawlipop, lyraonyx, Mangacat, Juulna, SerenaEW, v0lumnius, wilfriede0815","blackglass, dreamquaffle, horchatapods, InklingDancer, irrationalpie, Jocunda Sykes, LenaLawlipop, lyraonyx, Mangacat, Juulna, SerenaEW, v0lumnius, wilfriede0815",oneshot,complete,0-15 mins,* a capella song*,https://archiveofourown.org/works/52454990,,,,,2023/12/23,2023/12/23,https://wolfstarmicrofic.tumblr.com/post/703892472979505152,,,,
Embrace,alptraumdaydream,TriDogMom,oneshot,complete,0-15 mins,Hermione Granger,https://archiveofourown.org/works/30103935,,,,,2021/03/17,2021/01/17,https://archiveofourown.org/works/17294756,,,,
Empty Burrow,Cailynwrites,copperbadge,oneshot,complete,0-15 mins,Arthur Weasley/Molly Weasley,https://archiveofourown.org/works/53571133,,,,,2024/02/06,2004/05/30,https://archiveofourown.org/works/18203,,,,
Empty Houses,saintgarbanzo / biglackdog,saintgarbanzo / biglackdog,oneshot,complete,15-60 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/16417745,,,Wolfstar,,2018/11/15,2018/11/15,,?,,,
Enchained,FanficTalk Podfics,BellaLestrange87,oneshot,complete,0-15 mins,Rose Granger-Weasley,,https://open.spotify.com/episode/0XPWtUH6usO7vw32M9lvVe?si=l1SZQvijRym3z6vG5DqS7w,,,,2020/12/01,2020/07/14,https://www.fanfiction.net/s/6142629/1/Dudleys_Memories,,,,
Encounter with the Devil in the Toyshop,Through the Trapdoor,Teddylonglong,oneshot,complete,15-60 mins,Harry Potter,,https://open.spotify.com/episode/11U20bUqn2ptr1NnBy5EPh?si=64be083728bf44e9,,,,2018/12/01,2009/08/08,http://hpfanfictalk.com/archive/viewstory.php?sid=3182,,,,
Endgame,Jocunda Sykes,Jocunda Sykes,14 of 14,complete,5+ hours,Harry Potter/Severus Snape,https://archiveofourown.org/works/52878076,,,Snarry,,2024/01/07,2021/12/20,https://archiveofourown.org/works/38293408/chapters/95684470,,,,
Endurance,Lee Marchais / WeasleyWench,bgd_thrifty,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://amplificathon.livejournal.com/1489803.html,,,Drarry,,2012/07/20,2012/06/02,https://archiveofourown.org/works/34078537/chapters/84776605,,,,
Enemies; to Friends; to Lovers,SumthinClever,WrtrGrl,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/36555355,,,Drarry,,2022/01/21,2021/12/06,https://archiveofourown.org/works/7307941,,,,
Engaging the Divine,SumthinClever,SumthinClever,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/34070872,,,Drarry,,2021/09/24,2021/08/23,https://archiveofourown.org/works/13433703,,,,
Enigma Variations - TTS,BurningAurora / Wolfstar Podfics,Coriaria,18 of 18,complete,5+ hours,Sirius Black/Remus Lupin,https://archiveofourown.org/works/45205444,https://open.spotify.com/episode/6zhQBSttTcrBnsLDXJLzQU?si=KFZohc5wSGauc7k0SvS6TA,,Wolfstar,,2023/02/22,2020/05/01,https://hd-owlpost.livejournal.com/92934.html,,,,
Entangled,Static_Whisper,orphan_account,oneshot,complete,15-60 mins,Neville Longbottom/Ron Weasley,https://archiveofourown.org/works/38852691,,,,,2022/05/07,2006/04/06,https://archiveofourown.org/works/41065758,,,,
episode x: homicidal space badger,FanficTalk Podfics,northbound24,oneshot,complete,0-15 mins,"Harry Potter, Hermione Granger",,https://open.spotify.com/episode/0bwTcVvLjpjlfFgfeaiQXk?si=855c013ed8f74ce6,,,,2020/02/01,,https://www.fanfiction.net/s/3494886/1/Eden,,,,
Epistolary Arrangements,DontStopHerPodfics,DontStopHerNow,oneshot,complete,15-60 mins,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/48968776,,,Dramione,,2023/08/07,2022/08/18,https://archiveofourown.org/works/391329,,,,
Epitaph,Static_Whisper,draculard,oneshot,complete,0-15 mins,Petunia Evans Dursley & Lily Evans Potter,https://archiveofourown.org/works/41082051,,,,,2022/09/26,2020/04/11,https://archiveofourown.org/works/16524389/chapters/38707235,,,,
Erosmancy,lazulus,astolat,oneshot,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/7804927,,,Drarry,,2016/08/18,2016/07/28,https://archiveofourown.org/works/1530782,,,,
